,name,mana_cost,cmc,edhrec_rank
87,Guul Draz Vampire,{B},1.0,13325.0
88,Utopia Sprawl,{G},1.0,400.0
89,Game Trail,,0.0,709.0
90,Puppeteer Clique,{3}{B}{B},5.0,1755.0
91,Lantern of Revealing,{3},3.0,8974.0
92,Talisman of Progress,{2},2.0,467.0
93,Harvest Pyre,{1}{R},2.0,16559.0
94,Krovikan Sorcerer,{2}{U},3.0,15833.0
95,Dazzling Sphinx,{3}{U}{U},5.0,3962.0
96,Bond of Discipline,{4}{W},5.0,5231.0
97,Tanglewalker,{2}{G},3.0,20729.0
98,Selesnya Sanctuary,,0.0,368.0
99,Dakmor Lancer,{4}{B}{B},6.0,19191.0
100,Bladed Sentinel,{4},4.0,23174.0
101,Collective Voyage,{G},1.0,3612.0
102,Shadowcloak Vampire,{4}{B},5.0,19087.0
103,Purple Worm // Purple Worm,,0.0,
104,Waste Not,{1}{B},2.0,1442.0
105,Spell Contortion,{2}{U},3.0,14651.0
106,Refocus,{1}{U},2.0,7416.0
107,Darkling Stalker,{3}{B},4.0,18245.0
108,Prismari Campus // Prismari Campus,,0.0,
109,Duplicity,{3}{U}{U},5.0,22838.0
110,Planebound Accomplice,{2}{R},3.0,11971.0
111,Ondu Rising,{1}{W},2.0,16689.0
112,Ethereal Grasp,{2}{U},3.0,
113,Welkin Tern,{1}{U},2.0,19876.0
114,Chamber of Manipulation,{2}{U}{U},4.0,9239.0
115,Sanguine Indulgence,{3}{B},4.0,10599.0
116,Shrewd Hatchling,{3}{U/R},4.0,20908.0
117,Etchings of the Chosen,{1}{W}{B},3.0,2143.0
118,"Higure, the Still Wind",{3}{U}{U},5.0,3500.0
119,Heartwarming Redemption,{2}{R}{W},4.0,5292.0
120,Soul of the Rapids,{3}{U}{U},5.0,20004.0
121,Arc Mage,{2}{R},3.0,22340.0
122,Fracturing Gust,{2}{G/W}{G/W}{G/W},5.0,9428.0
123,Campfire,{1},1.0,7937.0
124,Divergent Growth,{G},1.0,18974.0
125,Halo Fountain // Halo Fountain,,0.0,
126,Minion Reflector,{5},5.0,8908.0
127,Dirtwater Wraith,{3}{B},4.0,21413.0
128,Cruel Ultimatum,{U}{U}{B}{B}{B}{R}{R},7.0,3317.0
129,"Greasefang, Okiba Boss",{1}{W}{B},3.0,7067.0
130,Puresight Merrow,{W/U}{W/U},2.0,18366.0
131,Starnheim Courser,{2}{W},3.0,1981.0
132,Dragon Fangs,{1}{G},2.0,11204.0
133,Square Up,{1}{G/U},2.0,18307.0
134,Heal,{W},1.0,10703.0
135,Maraleaf Pixie,{G}{U},2.0,2711.0
136,Bull Rush,{R},1.0,18803.0
137,Tyranid Harridan,{4}{G}{U},6.0,12648.0
138,Akroan Line Breaker,{2}{R},3.0,19557.0
139,Grip of Amnesia,{1}{U},2.0,13584.0
140,Deny the Divine,{2}{U},3.0,11762.0
141,Dawnbringer Cleric,{1}{W},2.0,4970.0
142,Parasitic Grasp // Parasitic Grasp,,0.0,
143,Pheres-Band Brawler,{4}{G}{G},6.0,19023.0
144,Sunbeam Spellbomb,{1},1.0,10082.0
145,Goblin Flotilla,{2}{R},3.0,22788.0
146,Oreskos Swiftclaw,{1}{W},2.0,14680.0
147,Inquisitive Puppet,{1},1.0,11263.0
148,Plot Armor,{2}{G},3.0,23946.0
149,Aven Squire,{1}{W},2.0,9727.0
150,Doubling Season,{4}{G},5.0,313.0
151,Stone Kavu,{4}{G},5.0,23154.0
152,Brawl-Bash Ogre,{2}{B}{R},4.0,19613.0
153,Divine Intervention,{6}{W}{W},8.0,12703.0
154,Icebreaker Kraken,{10}{U}{U},12.0,4265.0
155,Gerrard's Hourglass Pendant,{1},1.0,7093.0
156,Reckless Cohort,{1}{R},2.0,21515.0
157,Dragon Egg,,0.0,
158,Ragefire Hellkite,{4}{R}{R},6.0,18367.0
159,Giant's Amulet,{U},1.0,7118.0
160,Minotaur Abomination,{4}{B}{B},6.0,20071.0
161,Arcbond,{2}{R},3.0,3523.0
162,Summit Apes,{3}{G},4.0,18392.0
163,Box of Free-Range Goblins,{4}{R}{R},6.0,
164,Zulaport Chainmage,{3}{B},4.0,21094.0
165,Zodiac Goat,{R},1.0,20266.0
166,Cinder Elemental,{3}{R},4.0,16173.0
167,Gix's Caress,{2}{B},3.0,
168,Cabal Therapy,{B},1.0,8150.0
169,Urborg Volcano,,0.0,7353.0
170,Throttle,{4}{B},5.0,21398.0
171,Vampire Hounds,{2}{B},3.0,20958.0
172,Patient Turtle,{2}{G}{G},4.0,
173,Complaints Clerk,{3}{W},4.0,20426.0
174,Mindclaw Shaman,{4}{R},5.0,5045.0
175,Ashen Monstrosity,{5}{R}{R},7.0,20876.0
176,Leafcrown Dryad,{1}{G},2.0,13893.0
177,"Uurg, Spawn of Turg",{B}{B}{G},3.0,10465.0
178,Royal Warden,{3}{B}{B},5.0,10736.0
179,Rhox Maulers,{4}{G},5.0,19900.0
180,Spitfire Handler,{1}{R},2.0,22423.0
181,Scribe of the Mindful,{2}{U},3.0,13189.0
182,"Jareth, Leonine Titan",{3}{W}{W}{W},6.0,6652.0
183,Dwarven Thaumaturgist,{2}{R},3.0,12471.0
184,Salvage Scuttler,{4}{U},5.0,15683.0
185,"Rashmi, Eternities Crafter",{2}{G}{U},4.0,1718.0
186,Bedlam Reveler,{6}{R}{R},8.0,8306.0
187,"Gale, Primeval Conduit",{3}{G}{U},5.0,
188,"Halsin, Emerald Archdruid",{3}{G},4.0,12453.0
189,Zendikar Farguide,{4}{G},5.0,21866.0
190,Impetuous Devils,{2}{R}{R},4.0,10181.0
191,Etherium-Horn Sorcerer,{4}{U}{R},6.0,4499.0
192,Lich's Caress,{3}{B}{B},5.0,16495.0
193,Misfortune's Gain,{3}{W},4.0,22980.0
194,Summoning Station,{7},7.0,9085.0
195,What's Yours Is Now Mine,,0.0,
196,Thran Vigil,{1}{B},2.0,
197,Pir's Whim,{3}{G},4.0,2821.0
198,Embermaw Hellion,{3}{R}{R},5.0,5154.0
199,Rhonas's Last Stand,{G}{G},2.0,17459.0
200,Sword of Light and Shadow,{3},3.0,1683.0
201,Eight-and-a-Half-Tails,{W}{W},2.0,4226.0
202,Dictate of Karametra,{3}{G}{G},5.0,3157.0
203,Akki Rockspeaker,{1}{R},2.0,15502.0
204,Cogwork Assembler,{3},3.0,9691.0
205,Void Grafter,{1}{G}{U},3.0,9275.0
206,Cryptwailing,{3}{B},4.0,23178.0
207,Valeron Outlander,{G}{W},2.0,22183.0
208,Ionize,{1}{U}{R},3.0,4845.0
209,Hallowed Priest,{1}{W},2.0,
210,Master of the Feast,{1}{B}{B},3.0,4058.0
211,Fallaji Wayfarer,{2}{G},3.0,9206.0
212,Dreadhorde Invasion,{1}{B},2.0,985.0
213,Labyrinth Guardian,,0.0,
214,Soldier,,0.0,
215,Sulam Djinn,{5}{G},6.0,23834.0
216,Voice of the Blessed,{W}{W},2.0,3143.0
217,Embraal Gear-Smasher,{2}{R},3.0,14956.0
218,Foraging Squirrels // Foraging Squirrels (cont'd),,0.0,
219,Sword-Swallowing Seraph,{4}{W}{W},6.0,23535.0
220,Goblin Gathering,{2}{R},3.0,14057.0
221,Roc of Kher Ridges,{3}{R},4.0,22126.0
222,Comeuppance,{3}{W},4.0,4119.0
223,Sphinx's Insight,{2}{W}{U},4.0,14001.0
224,Eye of the Storm,{5}{U}{U},7.0,7495.0
225,Angel // Demon,,0.0,
226,Lotus Vale,,0.0,6143.0
227,Flooded Shoreline,{U}{U},2.0,13626.0
228,Messenger Falcons,{2}{G/U}{W},4.0,18958.0
229,Compulsory Rest,{1}{W},2.0,16265.0
230,Nim Lasher,{2}{B},3.0,20811.0
231,Albino Troll,{1}{G},2.0,20195.0
232,Ponder,{U},1.0,90.0
233,Kadena's Silencer,{1}{U},2.0,5903.0
234,Surly Badgersaur,{3}{R},4.0,2757.0
235,Vraska's Scorn,{2}{B}{B},4.0,17391.0
236,Gravetiller Wurm,{5}{G},6.0,13475.0
237,Wish // Wish,,0.0,
238,Justiciar's Portal,{1}{W},2.0,6960.0
239,Sworn Defender,{2}{W}{W},4.0,21215.0
240,"Tamiyo, Compleated Sage",{2}{G}{G/U/P}{U},5.0,4770.0
241,Spidery Grasp,{2}{G},3.0,15516.0
242,New Blood,{2}{B}{B},4.0,3983.0
243,Drag Under,{2}{U},3.0,13787.0
244,Saltcrusted Steppe,,0.0,6123.0
245,Tainted Isle,,0.0,606.0
246,"Gluntch, the Bestower",{1}{G}{W},3.0,7051.0
247,Seasoned Pyromancer,{1}{R}{R},3.0,6362.0
248,Ravenous Gigantotherium,{5}{G}{G},7.0,12432.0
249,Seek Bolas's Counsel,{U}{B}{R},3.0,
250,Recantation,{3}{U}{U},5.0,21471.0
251,Phyrexian Dragon Engine,{3},3.0,17796.0
252,Prismatic Circle,{2}{W},3.0,22276.0
253,Archangel of Wrath,{2}{W}{W},4.0,17860.0
254,Supreme Verdict,{1}{W}{W}{U},4.0,412.0
255,Granger Guildmage,{G},1.0,22731.0
256,Search the Premises,{3}{W},4.0,4147.0
257,Viashino Lashclaw,{1}{R},2.0,15991.0
258,Astarion's Thirst,{3}{B},4.0,6683.0
259,"Lukamina, Hawk Form",{2}{G}{W},4.0,
260,"Kopala, Warden of Waves",{1}{U}{U},3.0,4510.0
261,Flood of Recollection,{U}{U},2.0,3533.0
262,Excavating Anurid,{4}{G},5.0,11383.0
263,"Ma Chao, Western Warrior",{3}{R}{R},5.0,18323.0
264,Unnerving Assault,{2}{U/R},3.0,23057.0
265,Tundra,,0.0,465.0
266,Titania,,0.0,
267,Inga Rune-Eyes // Inga Rune-Eyes,,0.0,
268,Raving Oni-Slave,{1}{B},2.0,20768.0
269,Moss Diamond,{2},2.0,2101.0
270,Angel of Despair,{3}{W}{W}{B}{B},7.0,3344.0
271,Armed Response,{2}{W},3.0,19822.0
272,Fire Covenant,{1}{B}{R},3.0,1636.0
273,"Winota, Joiner of Forces",{2}{R}{W},4.0,3264.0
274,Nomadic Elf,{1}{G},2.0,19054.0
275,Spearbreaker Behemoth,{5}{G}{G},7.0,5504.0
276,Ensoul Artifact,{1}{U},2.0,12587.0
277,Skred,{R},1.0,9684.0
278,Flycatcher Giraffid,{4}{G},5.0,19322.0
279,Blighted Woodland,,0.0,200.0
280,Mirrorweave,{2}{W/U}{W/U},4.0,8075.0
281,Monk,,0.0,
282,Cytoplast Manipulator,{2}{U}{U},4.0,8902.0
283,Fiery Islet,,0.0,1095.0
284,Spara's Adjudicators,{2}{G}{W}{U},5.0,15201.0
285,Ulvenwald Captive // Ulvenwald Abomination,,2.0,6830.0
286,Game Plan,{5}{U},6.0,6397.0
287,Selesnya Sagittars,{3}{G}{W},5.0,17418.0
288,Sultai Emissary,{1}{B},2.0,13207.0
289,Chainbreaker,{2},2.0,10554.0
290,Sedge Sliver,{2}{R},3.0,6470.0
291,Glacial Fortress,,0.0,213.0
292,Odunos River Trawler,{2}{B},3.0,17914.0
293,Freewind Equenaut,{2}{W},3.0,20568.0
294,Goblin Trashmaster,{2}{R}{R},4.0,2327.0
295,Greater Werewolf,{4}{B},5.0,22216.0
296,Guiltfeeder,{3}{B}{B},5.0,4304.0
297,Bushmeat Poacher,{3}{B},4.0,9272.0
298,Ivory Mask,{2}{W}{W},4.0,14490.0
299,Mindblade Render,{1}{B},2.0,3028.0
300,Glademuse,{2}{G},3.0,7818.0
301,Dross Crocodile,{3}{B},4.0,20473.0
302,Insect,,0.0,
303,Cathedral Membrane,{1}{W/P},2.0,11891.0
304,Chain of Plasma,{1}{R},2.0,15479.0
305,Ruthless Sniper,{B},1.0,11366.0
306,Blink Dog,{2}{W},3.0,12582.0
307,Coils of the Medusa,{1}{B},2.0,20743.0
308,World at War,{3}{R}{R},5.0,3150.0
309,Strength of Lunacy,{1}{B},2.0,8872.0
310,Order of the Golden Cricket,{1}{W},2.0,18743.0
311,Funeral Pyre,{W},1.0,19453.0
312,Stop That,{B},1.0,
313,Strategic Planning,{1}{U},2.0,3252.0
314,Screaming Seahawk,{4}{U},5.0,23729.0
315,Koth of the Hammer Emblem,,0.0,
316,Jasconian Isle,,0.0,
317,Heavily Armored,,0.0,
318,Benalish Sleeper // Benalish Sleeper,,0.0,
319,Aggressive Crag,,0.0,
320,"Hixus, Prison Warden",{3}{W}{W},5.0,14033.0
321,Shoreline Salvager,{3}{B},4.0,23731.0
322,Mistform Wall,{2}{U},3.0,21154.0
323,Azusa's Many Journeys // Likeness of the Seeker,,2.0,5584.0
324,Sage of the Inward Eye,{2}{U}{R}{W},5.0,13278.0
325,Remembrance,{3}{W},4.0,8475.0
326,Devil,,0.0,
327,Ghostly Touch,{1}{U},2.0,14073.0
328,Blind Creeper,{1}{B},2.0,23598.0
329,Contagious Nim,{2}{B},3.0,9035.0
330,Broodhunter Wurm,{3}{G},4.0,15887.0
331,"Zaffai, Thunder Conductor",{2}{U}{R},4.0,4067.0
332,Walker of the Grove,{6}{G}{G},8.0,13543.0
333,Midnight Entourage,{2}{B}{B},4.0,18575.0
334,Glimpse of Freedom,{1}{U},2.0,10625.0
335,Mizzium Skin,{U},1.0,4833.0
336,Catapult Master,{3}{W}{W},5.0,7999.0
337,Benefaction of Rhonas,{2}{G},3.0,13472.0
338,Chief Engineer,{1}{U},2.0,3931.0
339,Assembly-Worker,,0.0,
340,Scorching Missile,{3}{R},4.0,22990.0
341,Obelisk of Naya,{3},3.0,10815.0
342,Coast Watcher,{1}{U},2.0,16137.0
343,Spine of Ish Sah,{7},7.0,1998.0
344,Ancient Den,,0.0,496.0
345,Goblin Cruciverbalist,{2}{R},3.0,
346,Park Bleater,{2}{W},3.0,22274.0
347,Research the Deep,{1}{U},2.0,17774.0
348,Zephyr Boots,{1},1.0,3889.0
349,Angel of Destiny,{3}{W}{W},5.0,1580.0
350,Thunderclap,{2}{R},3.0,8957.0
351,Marsh Flitter,{3}{B},4.0,6147.0
352,Search for Survivors,{2}{R},3.0,20452.0
353,Raze,{R},1.0,14683.0
354,Gideon's Intervention,{2}{W}{W},4.0,12344.0
355,Smolder Initiate,{B},1.0,20822.0
356,Makeshift Mauler,{3}{U},4.0,19995.0
357,"Astarion, the Decadent",{4}{W}{B},6.0,6696.0
358,Matopi Golem,{5},5.0,22977.0
359,Boggart Birth Rite,{B},1.0,11848.0
360,Meren of Clan Nel Toth,{2}{B}{G},4.0,1694.0
361,Storage Matrix,{3},3.0,7424.0
362,Commanding Presence,{3}{W},4.0,9949.0
363,"Jiwari, the Earth Aflame",{3}{R}{R},5.0,15402.0
364,Numai Outcast,{3}{B},4.0,19120.0
365,Mountain Goat,{R},1.0,17324.0
366,Blood Cultist,{1}{B}{R},3.0,9603.0
367,Karok Wrangler,{4}{G},5.0,12976.0
368,Sangrite Backlash,{B/G}{R},2.0,22815.0
369,Massive Raid,{1}{R}{R},3.0,4707.0
370,Rending Volley,{R},1.0,16069.0
371,Haunted Dead,{3}{B},4.0,13303.0
372,Muck Drubb,{3}{B}{B},5.0,6669.0
373,Aggressive Mammoth,{3}{G}{G}{G},6.0,4289.0
374,Prismatic Vista,,0.0,102.0
375,Caustic Hound,{5}{B},6.0,20052.0
376,Reclamation Sage,{2}{G},3.0,91.0
377,Kazandu Refuge,,0.0,2933.0
378,Yew Spirit,{4}{G},5.0,19131.0
379,Torrent Elemental,{4}{U},5.0,10384.0
380,"Grist, the Hunger Tide // Grist, the Hunger Tide",,0.0,
381,Engulfing Slagwurm,{5}{G}{G},7.0,7123.0
382,Wingrattle Scarecrow,{3},3.0,8941.0
383,Goblin Chainwhirler,{R}{R}{R},3.0,2949.0
384,Arcbound Wanderer,{6},6.0,14591.0
385,Foul Emissary,{2}{G},3.0,17682.0
386,Bog Rats,{B},1.0,14696.0
387,Merrow Harbinger,{3}{U},4.0,5462.0
388,Locked in the Cemetery,{1}{U},2.0,16337.0
389,Frostpeak Yeti,{3}{U},4.0,13050.0
390,Faerie Formation,{4}{U},5.0,5638.0
391,Faithless Salvaging,{1}{R},2.0,4299.0
392,Oketra's Monument,{3},3.0,971.0
393,"Karlach, Fury of Avernus",{4}{R},5.0,2710.0
394,Moonring Mirror,{5},5.0,15082.0
395,Sharuum the Hegemon,{3}{W}{U}{B},6.0,4083.0
396,Combo Attack,{2}{G},3.0,18078.0
397,Unliving Psychopath,{2}{B}{B},4.0,18883.0
398,Diabolic Intent,{1}{B},2.0,348.0
399,Reaver Ambush,{2}{B},3.0,19898.0
400,Herd Baloth,{3}{G}{G},5.0,3974.0
401,Patron of the Nezumi,{5}{B}{B},7.0,9437.0
402,Black Sun's Zenith,{X}{B}{B},2.0,1516.0
403,Loafing Giant,{4}{R},5.0,23564.0
404,Inundate,{3}{U}{U}{U},6.0,7557.0
405,Polymorph,{3}{U},4.0,4313.0
406,Sunflare Shaman,{1}{R},2.0,19676.0
407,Sol Grail,{3},3.0,15552.0
408,Disappear,{2}{U}{U},4.0,21142.0
409,Unwilling Recruit,{X}{R}{R}{R},3.0,14486.0
410,Guardian Gladewalker,{1}{G},2.0,4779.0
411,"Rakdos, the Showstopper",{4}{B}{R},6.0,4342.0
412,Anavolver,{3}{G},4.0,21731.0
413,Borderland Minotaur,{2}{R}{R},4.0,18683.0
414,Barbtooth Wurm,{5}{G},6.0,19683.0
415,Sanguine Spy,{2}{B},3.0,7965.0
416,Heron-Blessed Geist // Heron-Blessed Geist,,0.0,
417,Terisiare's Devastation,{X}{2}{B}{B},4.0,
418,Baffling End,{1}{W},2.0,14167.0
419,Coral Commando,{2}{U},3.0,21141.0
420,Bonds of Quicksilver,{3}{U},4.0,20331.0
421,"Stenn, Paranoid Partisan",{W}{U},2.0,8522.0
422,Freed from the Real,{2}{U},3.0,1211.0
423,Everythingamajig,{5},5.0,
424,Heaven // Earth,{X}{G} // {X}{R}{R},3.0,10714.0
425,Misinformation,{B},1.0,15470.0
426,Drumbellower,{2}{W},3.0,2290.0
427,Hero's Downfall,{1}{B}{B},3.0,1070.0
428,Vernadi Shieldmate,{1}{G/W},2.0,18757.0
429,Statute of Denial,{2}{U}{U},4.0,17631.0
430,Soratami Mirror-Mage,{3}{U},4.0,13202.0
431,Checkpoint Officer,{1}{W},2.0,18204.0
432,Tourach's Gate,{1}{B}{B},3.0,21917.0
433,Rune of Sustenance,{1}{W},2.0,4929.0
434,Venom Connoisseur,{1}{G},2.0,9385.0
435,Mesmeric Orb,{2},2.0,1423.0
436,Blood,,0.0,
437,Autumn's Veil,{G},1.0,1235.0
438,Meteor Storm,{R}{G},2.0,23031.0
439,Rage Reflection,{4}{R}{R},6.0,4975.0
440,Faerie,,0.0,
441,Consuming Sinkhole,{3}{R},4.0,20922.0
442,"Miren, the Moaning Well",,0.0,5170.0
443,Rootborn Defenses,{2}{W},3.0,1138.0
444,Mourning Thrull,{1}{W/B},2.0,18295.0
445,Clockwork Fox // Clockwork Fox,,0.0,
446,Hag of Death's Legion,{2}{B},3.0,
447,My Undead Horde Awakens,,0.0,
448,Lore Weaver,{3}{U},4.0,11618.0
449,Gravitational Shift,{3}{U}{U},5.0,4489.0
450,Brighthearth Banneret,{1}{R},2.0,5707.0
451,Wolf,,0.0,
452,Professional Face-Breaker,{2}{R},3.0,739.0
453,Sisters of Stone Death Avatar,,0.0,
454,Executioner's Hood,{2},2.0,10684.0
455,Lowland Giant,{2}{R}{R},4.0,23565.0
456,Rain of Embers,{1}{R},2.0,12542.0
457,Nature Demands an Offering,,0.0,
458,"Gorex, the Tombshell",{6}{B}{B},8.0,6527.0
459,"Zegana, Utopian Speaker",{2}{G}{U},4.0,4991.0
460,"Lae'zel, Illithid Thrall",{3}{W}{U},5.0,
461,The Harvester,,0.0,
462,Magister of Worth,{4}{W}{B},6.0,4038.0
463,Krosan Beast,{3}{G},4.0,11171.0
464,Ghoul's Feast,{1}{B},2.0,17950.0
465,Burning Shield Askari,{2}{R},3.0,21928.0
466,City of Shadows,,0.0,12071.0
467,Elder of Laurels,{2}{G},3.0,12733.0
468,"Klement, Novice Acolyte",{1}{W},2.0,
469,Desperate Castaways,{1}{B},2.0,20020.0
470,Breaking // Entering,{U}{B} // {4}{B}{R},8.0,13311.0
471,Ghitu War Cry,{2}{R},3.0,18471.0
472,Earth-Cult Elemental,{4}{R}{R},6.0,6558.0
473,Containment Breach,{2}{G},3.0,10835.0
474,Skyclave Shadowcat,{3}{B},4.0,7223.0
475,Cryptolith Rite,{1}{G},2.0,696.0
476,Oran-Rief Recluse,{2}{G},3.0,11179.0
477,Illuminated Folio,{5},5.0,17073.0
478,Showstopper,{1}{B}{R},3.0,14133.0
479,Saltwater Stalwart,{3}{U},4.0,17498.0
480,Spell Blast,{X}{U},1.0,14196.0
481,Flailing Manticore,{3}{R},4.0,22668.0
482,Junk Golem,{4},4.0,20942.0
483,Cardboard Carapace,{5}{G},6.0,
484,Reckoner's Bargain,{1}{B},2.0,3043.0
485,Titans' Nest,{1}{B}{G}{U},4.0,7570.0
486,"Hallar, the Firefletcher",{1}{R}{G},3.0,10476.0
487,Heartlash Cinder,{1}{R},2.0,18951.0
488,Deadly Rollick,{3}{B},4.0,257.0
489,Yavimaya Barbarian,{R}{G},2.0,21729.0
490,Electrostatic Infantry // Electrostatic Infantry,,0.0,
491,Soul's Attendant,{W},1.0,1008.0
492,Mudbutton Torchrunner,{2}{R},3.0,15442.0
493,Kargan Intimidator,{1}{R},2.0,8967.0
494,Dragon Scales,{1}{W},2.0,16043.0
495,Yamabushi's Flame,{2}{R},3.0,21633.0
496,Rod of Spanking,{1},1.0,
497,Rime Dryad,{G},1.0,23675.0
498,Surging Might,{2}{G},3.0,23901.0
499,Ebony Treefolk,{1}{B}{G},3.0,19194.0
500,Breath of Fire,{1}{R},2.0,20881.0
501,The Book of Exalted Deeds,{W}{W}{W},3.0,2868.0
502,Immolating Glare,{1}{W},2.0,13312.0
503,"Phenax, God of Deception",{3}{U}{B},5.0,2957.0
504,Moonblade Shinobi,{3}{U},4.0,4725.0
505,Simic Growth Chamber,,0.0,205.0
506,Spurnmage Advocate,{W},1.0,10981.0
507,Bog Humbugs,{1}{B},2.0,
508,Slaughter Drone,{1}{B},2.0,18217.0
509,Plague Stinger,{1}{B},2.0,3706.0
510,Tumble Magnet,{3},3.0,17692.0
511,"Verrak, Warped Sengir",{1}{W}{B},3.0,10223.0
512,Curator of Mysteries,{2}{U}{U},4.0,3476.0
513,Specter of the Fens,{3}{B},4.0,17011.0
514,Unexpected Results,{2}{G}{U},4.0,4665.0
515,Zodiac Rabbit,{G},1.0,19512.0
516,Venser's Diffusion,{2}{U},3.0,19280.0
517,Hulking Cyclops,{3}{R}{R},5.0,23396.0
518,Sepulcher Ghoul,{1}{B},2.0,15237.0
519,Demonlord of Ashmouth,{2}{B}{B},4.0,13226.0
520,Spidersilk Net,{0},0.0,6643.0
521,Foundry of the Consuls,,0.0,4698.0
522,Prismatic Dragon,{2}{W}{W},4.0,
523,Donate,{2}{U},3.0,11266.0
524,Deglamer,{1}{G},2.0,7218.0
525,Gridlock,{X}{U},1.0,8644.0
526,Zanam Djinn,{5}{U},6.0,23698.0
527,Deadly Visit,{3}{B}{B},5.0,14342.0
528,Knight,,0.0,
529,Fungal Infection,{B},1.0,9963.0
