,name,color_identity,type_line
87,Guul Draz Vampire,['B'],Creature — Vampire Rogue
88,Utopia Sprawl,['G'],Enchantment — Aura
89,Game Trail,"['G', 'R']",Land
90,Puppeteer Clique,['B'],Creature — Faerie Wizard
91,Lantern of Revealing,[],Artifact
92,Talisman of Progress,"['U', 'W']",Artifact
93,Harvest Pyre,['R'],Instant
94,Krovikan Sorcerer,['U'],Creature — Human Wizard
95,Dazzling Sphinx,['U'],Creature — Sphinx
96,Bond of Discipline,['W'],Sorcery
97,Tanglewalker,['G'],Creature — Dryad
98,Selesnya Sanctuary,"['G', 'W']",Land
99,Dakmor Lancer,['B'],Creature — Human Knight
100,Bladed Sentinel,['W'],Artifact Creature — Construct
101,Collective Voyage,['G'],Sorcery
102,Shadowcloak Vampire,['B'],Creature — Vampire
103,Purple Worm // Purple Worm,[],Card // Card
104,Waste Not,['B'],Enchantment
105,Spell Contortion,['U'],Instant
106,Refocus,['U'],Instant
107,Darkling Stalker,['B'],Creature — Shade Spirit
108,Prismari Campus // Prismari Campus,[],Card // Card
109,Duplicity,['U'],Enchantment
110,Planebound Accomplice,['R'],Creature — Human Wizard
111,Ondu Rising,['W'],Sorcery
112,Ethereal Grasp,['U'],Instant
113,Welkin Tern,['U'],Creature — Bird
114,Chamber of Manipulation,['U'],Enchantment — Aura
115,Sanguine Indulgence,['B'],Sorcery
116,Shrewd Hatchling,"['R', 'U']",Creature — Elemental
117,Etchings of the Chosen,"['B', 'W']",Enchantment
118,"Higure, the Still Wind",['U'],Legendary Creature — Human Ninja
119,Heartwarming Redemption,"['R', 'W']",Instant
120,Soul of the Rapids,['U'],Creature — Elemental
121,Arc Mage,['R'],Creature — Human Spellshaper
122,Fracturing Gust,"['G', 'W']",Instant
123,Campfire,[],Artifact
124,Divergent Growth,['G'],Instant
125,Halo Fountain // Halo Fountain,[],Card // Card
126,Minion Reflector,[],Artifact
127,Dirtwater Wraith,['B'],Creature — Wraith
128,Cruel Ultimatum,"['B', 'R', 'U']",Sorcery
129,"Greasefang, Okiba Boss","['B', 'W']",Legendary Creature — Rat Pilot
130,Puresight Merrow,"['U', 'W']",Creature — Merfolk Wizard
131,Starnheim Courser,['W'],Creature — Pegasus
132,Dragon Fangs,['G'],Enchantment — Aura
133,Square Up,"['G', 'U']",Instant
134,Heal,['W'],Instant
135,Maraleaf Pixie,"['G', 'U']",Creature — Faerie
136,Bull Rush,['R'],Instant
137,Tyranid Harridan,"['G', 'U']",Creature — Tyranid
138,Akroan Line Breaker,['R'],Creature — Human Warrior
139,Grip of Amnesia,['U'],Instant
140,Deny the Divine,['U'],Instant
141,Dawnbringer Cleric,['W'],Creature — Human Cleric
142,Parasitic Grasp // Parasitic Grasp,[],Card // Card
143,Pheres-Band Brawler,['G'],Creature — Centaur Warrior
144,Sunbeam Spellbomb,['W'],Artifact
145,Goblin Flotilla,['R'],Creature — Goblin
146,Oreskos Swiftclaw,['W'],Creature — Cat Warrior
147,Inquisitive Puppet,[],Artifact Creature — Construct
148,Plot Armor,['G'],Enchantment — Aura
149,Aven Squire,['W'],Creature — Bird Soldier
150,Doubling Season,['G'],Enchantment
151,Stone Kavu,"['G', 'R', 'W']",Creature — Kavu
152,Brawl-Bash Ogre,"['B', 'R']",Creature — Ogre Warrior
153,Divine Intervention,['W'],Enchantment
154,Icebreaker Kraken,['U'],Snow Creature — Kraken
155,Gerrard's Hourglass Pendant,[],Legendary Artifact
156,Reckless Cohort,['R'],Creature — Human Warrior Ally
157,Dragon Egg,['R'],Token Creature — Dragon Egg
158,Ragefire Hellkite,['R'],Creature — Dragon
159,Giant's Amulet,['U'],Artifact — Equipment
160,Minotaur Abomination,['B'],Creature — Zombie Minotaur
161,Arcbond,['R'],Instant
162,Summit Apes,['G'],Creature — Ape
163,Box of Free-Range Goblins,['R'],Sorcery
164,Zulaport Chainmage,['B'],Creature — Human Shaman Ally
165,Zodiac Goat,['R'],Creature — Goat
166,Cinder Elemental,['R'],Creature — Elemental
167,Gix's Caress,['B'],Sorcery
168,Cabal Therapy,['B'],Sorcery
169,Urborg Volcano,"['B', 'R']",Land
170,Throttle,['B'],Instant
171,Vampire Hounds,['B'],Creature — Vampire Dog
172,Patient Turtle,['G'],Creature — Turtle
173,Complaints Clerk,['W'],Creature — Beast Employee
174,Mindclaw Shaman,['R'],Creature — Viashino Shaman
175,Ashen Monstrosity,['R'],Creature — Spirit
176,Leafcrown Dryad,['G'],Enchantment Creature — Nymph Dryad
177,"Uurg, Spawn of Turg","['B', 'G']",Legendary Creature — Frog Beast
178,Royal Warden,['B'],Artifact Creature — Necron
179,Rhox Maulers,['G'],Creature — Rhino Soldier
180,Spitfire Handler,['R'],Creature — Goblin
181,Scribe of the Mindful,['U'],Creature — Human Cleric
182,"Jareth, Leonine Titan",['W'],Legendary Creature — Cat Giant
183,Dwarven Thaumaturgist,['R'],Creature — Dwarf Shaman
184,Salvage Scuttler,['U'],Creature — Crab
185,"Rashmi, Eternities Crafter","['G', 'U']",Legendary Creature — Elf Druid
186,Bedlam Reveler,['R'],Creature — Devil Horror
187,"Gale, Primeval Conduit","['G', 'U']",Legendary Creature — Human Wizard
188,"Halsin, Emerald Archdruid",['G'],Legendary Creature — Elf Druid
189,Zendikar Farguide,['G'],Creature — Elemental
190,Impetuous Devils,['R'],Creature — Devil
191,Etherium-Horn Sorcerer,"['R', 'U']",Artifact Creature — Minotaur Wizard
192,Lich's Caress,['B'],Sorcery
193,Misfortune's Gain,['W'],Sorcery
194,Summoning Station,[],Artifact
195,What's Yours Is Now Mine,[],Scheme
196,Thran Vigil,['B'],Enchantment
197,Pir's Whim,['G'],Sorcery
198,Embermaw Hellion,['R'],Creature — Hellion
199,Rhonas's Last Stand,['G'],Sorcery
200,Sword of Light and Shadow,[],Artifact — Equipment
201,Eight-and-a-Half-Tails,['W'],Legendary Creature — Fox Cleric
202,Dictate of Karametra,['G'],Enchantment
203,Akki Rockspeaker,['R'],Creature — Goblin Shaman
204,Cogwork Assembler,[],Artifact Creature — Assembly-Worker
205,Void Grafter,"['G', 'U']",Creature — Eldrazi Drone
206,Cryptwailing,['B'],Enchantment
207,Valeron Outlander,"['G', 'W']",Creature — Human Scout
208,Ionize,"['R', 'U']",Instant
209,Hallowed Priest,['W'],Creature — Human Cleric
210,Master of the Feast,['B'],Enchantment Creature — Demon
211,Fallaji Wayfarer,['G'],Creature — Human Scout
212,Dreadhorde Invasion,['B'],Enchantment
213,Labyrinth Guardian,['W'],Token Creature — Zombie Illusion Warrior
214,Soldier,['W'],Token Creature — Soldier
215,Sulam Djinn,['G'],Creature — Djinn
216,Voice of the Blessed,['W'],Creature — Spirit Cleric
217,Embraal Gear-Smasher,['R'],Creature — Human Warrior
218,Foraging Squirrels // Foraging Squirrels (cont'd),[],Card // Card
219,Sword-Swallowing Seraph,['W'],Creature — Angel Performer
220,Goblin Gathering,['R'],Sorcery
221,Roc of Kher Ridges,['R'],Creature — Bird
222,Comeuppance,['W'],Instant
223,Sphinx's Insight,"['U', 'W']",Instant
224,Eye of the Storm,['U'],Enchantment
225,Angel // Demon,"['B', 'W']",Token Creature — Angel // Token Creature — Demon
226,Lotus Vale,[],Land
227,Flooded Shoreline,['U'],Enchantment
228,Messenger Falcons,"['G', 'U', 'W']",Creature — Bird
229,Compulsory Rest,['W'],Enchantment — Aura
230,Nim Lasher,['B'],Creature — Zombie
231,Albino Troll,['G'],Creature — Troll
232,Ponder,['U'],Sorcery
233,Kadena's Silencer,['U'],Creature — Naga Wizard
234,Surly Badgersaur,['R'],Creature — Badger Dinosaur
235,Vraska's Scorn,['B'],Sorcery
236,Gravetiller Wurm,['G'],Creature — Wurm
237,Wish // Wish,[],Card // Card
238,Justiciar's Portal,['W'],Instant
239,Sworn Defender,['W'],Creature — Human Knight
240,"Tamiyo, Compleated Sage","['G', 'U']",Legendary Planeswalker — Tamiyo
241,Spidery Grasp,['G'],Instant
242,New Blood,['B'],Sorcery
243,Drag Under,['U'],Sorcery
244,Saltcrusted Steppe,"['G', 'W']",Land
245,Tainted Isle,"['B', 'U']",Land
246,"Gluntch, the Bestower","['G', 'W']",Legendary Creature — Jellyfish
247,Seasoned Pyromancer,['R'],Creature — Human Shaman
248,Ravenous Gigantotherium,['G'],Creature — Beast
249,Seek Bolas's Counsel,"['B', 'R', 'U']",Sorcery
250,Recantation,['U'],Enchantment
251,Phyrexian Dragon Engine,"['B', 'R']",Artifact Creature — Phyrexian Dragon
252,Prismatic Circle,['W'],Enchantment
253,Archangel of Wrath,"['B', 'R', 'W']",Creature — Angel
254,Supreme Verdict,"['U', 'W']",Sorcery
255,Granger Guildmage,"['G', 'R', 'W']",Creature — Human Wizard
256,Search the Premises,['W'],Enchantment
257,Viashino Lashclaw,['R'],Creature — Viashino Warrior
258,Astarion's Thirst,['B'],Instant
259,"Lukamina, Hawk Form","['G', 'W']",Legendary Creature — Bird Druid
260,"Kopala, Warden of Waves",['U'],Legendary Creature — Merfolk Wizard
261,Flood of Recollection,['U'],Sorcery
262,Excavating Anurid,['G'],Creature — Frog Beast
263,"Ma Chao, Western Warrior",['R'],Legendary Creature — Human Soldier Warrior
264,Unnerving Assault,"['R', 'U']",Instant
265,Tundra,"['U', 'W']",Land — Plains Island
266,Titania,[],Vanguard
267,Inga Rune-Eyes // Inga Rune-Eyes,[],Card // Card
268,Raving Oni-Slave,['B'],Creature — Ogre Warrior
269,Moss Diamond,['G'],Artifact
270,Angel of Despair,"['B', 'W']",Creature — Angel
271,Armed Response,['W'],Instant
272,Fire Covenant,"['B', 'R']",Instant
273,"Winota, Joiner of Forces","['R', 'W']",Legendary Creature — Human Warrior
274,Nomadic Elf,['G'],Creature — Elf Nomad
275,Spearbreaker Behemoth,['G'],Creature — Beast
276,Ensoul Artifact,['U'],Enchantment — Aura
277,Skred,['R'],Instant
278,Flycatcher Giraffid,['G'],Creature — Antelope Lizard
279,Blighted Woodland,['G'],Land
280,Mirrorweave,"['U', 'W']",Instant
281,Monk,['R'],Token Creature — Monk
282,Cytoplast Manipulator,['U'],Creature — Human Wizard Mutant
283,Fiery Islet,"['R', 'U']",Land
284,Spara's Adjudicators,"['G', 'U', 'W']",Creature — Cat Citizen
285,Ulvenwald Captive // Ulvenwald Abomination,['G'],Creature — Werewolf Horror // Creature — Eldrazi Werewolf
286,Game Plan,['U'],Sorcery
287,Selesnya Sagittars,"['G', 'W']",Creature — Elf Archer
288,Sultai Emissary,['B'],Creature — Zombie Warrior
289,Chainbreaker,[],Artifact Creature — Scarecrow
290,Sedge Sliver,"['B', 'R']",Creature — Sliver
291,Glacial Fortress,"['U', 'W']",Land
292,Odunos River Trawler,"['B', 'W']",Creature — Zombie
293,Freewind Equenaut,['W'],Creature — Human Archer
294,Goblin Trashmaster,['R'],Creature — Goblin Warrior
295,Greater Werewolf,['B'],Creature — Werewolf
296,Guiltfeeder,['B'],Creature — Horror
297,Bushmeat Poacher,['B'],Creature — Human Soldier
298,Ivory Mask,['W'],Enchantment
299,Mindblade Render,['B'],Creature — Azra Warrior
300,Glademuse,['G'],Creature — Beast
301,Dross Crocodile,['B'],Creature — Zombie Crocodile
302,Insect,['G'],Token Creature — Insect
303,Cathedral Membrane,['W'],Artifact Creature — Phyrexian Wall
304,Chain of Plasma,['R'],Instant
305,Ruthless Sniper,['B'],Creature — Human Archer
306,Blink Dog,['W'],Creature — Dog
307,Coils of the Medusa,['B'],Enchantment — Aura
308,World at War,['R'],Sorcery
309,Strength of Lunacy,['B'],Enchantment — Aura
310,Order of the Golden Cricket,['W'],Creature — Kithkin Knight
311,Funeral Pyre,['W'],Instant
312,Stop That,['B'],Instant
313,Strategic Planning,['U'],Sorcery
314,Screaming Seahawk,['U'],Creature — Bird
315,Koth of the Hammer Emblem,[],Emblem — Koth
316,Jasconian Isle,['U'],Land Creature — Island Fish
317,Heavily Armored,[],Card
318,Benalish Sleeper // Benalish Sleeper,[],Card // Card
319,Aggressive Crag,"['R', 'W']",Land
320,"Hixus, Prison Warden",['W'],Legendary Creature — Human Soldier
321,Shoreline Salvager,['B'],Creature — Surrakar
322,Mistform Wall,['U'],Creature — Illusion Wall
323,Azusa's Many Journeys // Likeness of the Seeker,['G'],Enchantment — Saga // Enchantment Creature — Human Monk
324,Sage of the Inward Eye,"['R', 'U', 'W']",Creature — Djinn Wizard
325,Remembrance,['W'],Enchantment
326,Devil,['R'],Token Creature — Devil
327,Ghostly Touch,['U'],Enchantment — Aura
328,Blind Creeper,['B'],Creature — Zombie Beast
329,Contagious Nim,['B'],Creature — Phyrexian Zombie
330,Broodhunter Wurm,['G'],Creature — Wurm
331,"Zaffai, Thunder Conductor","['R', 'U']",Legendary Creature — Human Shaman
332,Walker of the Grove,['G'],Creature — Elemental
333,Midnight Entourage,['B'],Creature — Aetherborn Rogue
334,Glimpse of Freedom,['U'],Instant
335,Mizzium Skin,['U'],Instant
336,Catapult Master,['W'],Creature — Human Soldier
337,Benefaction of Rhonas,['G'],Sorcery
338,Chief Engineer,['U'],Creature — Vedalken Artificer
339,Assembly-Worker,[],Token Artifact Creature — Assembly-Worker
340,Scorching Missile,['R'],Sorcery
341,Obelisk of Naya,"['G', 'R', 'W']",Artifact
342,Coast Watcher,['U'],Creature — Bird Soldier
343,Spine of Ish Sah,[],Artifact
344,Ancient Den,['W'],Artifact Land
345,Goblin Cruciverbalist,['R'],Creature — Goblin Wizard Guest
346,Park Bleater,['W'],Creature — Goat Employee
347,Research the Deep,['U'],Sorcery
348,Zephyr Boots,[],Artifact — Equipment
349,Angel of Destiny,['W'],Creature — Angel Cleric
350,Thunderclap,['R'],Instant
351,Marsh Flitter,['B'],Creature — Faerie Rogue
352,Search for Survivors,['R'],Sorcery
353,Raze,['R'],Sorcery
354,Gideon's Intervention,['W'],Enchantment
355,Smolder Initiate,['B'],Creature — Elemental Shaman
356,Makeshift Mauler,['U'],Creature — Zombie Horror
357,"Astarion, the Decadent","['B', 'W']",Legendary Creature — Vampire Elf Rogue
358,Matopi Golem,[],Artifact Creature — Golem
359,Boggart Birth Rite,['B'],Tribal Sorcery — Goblin
360,Meren of Clan Nel Toth,"['B', 'G']",Legendary Creature — Human Shaman
361,Storage Matrix,[],Artifact
362,Commanding Presence,['W'],Enchantment — Aura
363,"Jiwari, the Earth Aflame",['R'],Legendary Creature — Spirit
364,Numai Outcast,['B'],Creature — Human Samurai
365,Mountain Goat,['R'],Creature — Goat
366,Blood Cultist,"['B', 'R']",Creature — Human Wizard
367,Karok Wrangler,['G'],Creature — Elf Druid
368,Sangrite Backlash,"['B', 'G', 'R']",Enchantment — Aura
369,Massive Raid,['R'],Instant
370,Rending Volley,['R'],Instant
371,Haunted Dead,['B'],Creature — Zombie
372,Muck Drubb,['B'],Creature — Beast
373,Aggressive Mammoth,['G'],Creature — Elephant
374,Prismatic Vista,[],Land
375,Caustic Hound,['B'],Creature — Phyrexian Dog
376,Reclamation Sage,['G'],Creature — Elf Shaman
377,Kazandu Refuge,"['G', 'R']",Land
378,Yew Spirit,['G'],Creature — Spirit Treefolk
379,Torrent Elemental,"['B', 'G', 'U']",Creature — Elemental
380,"Grist, the Hunger Tide // Grist, the Hunger Tide",[],Card // Card
381,Engulfing Slagwurm,['G'],Creature — Wurm
382,Wingrattle Scarecrow,[],Artifact Creature — Scarecrow
383,Goblin Chainwhirler,['R'],Creature — Goblin Warrior
384,Arcbound Wanderer,[],Artifact Creature — Golem
385,Foul Emissary,['G'],Creature — Human Horror
386,Bog Rats,['B'],Creature — Rat
387,Merrow Harbinger,['U'],Creature — Merfolk Wizard
388,Locked in the Cemetery,['U'],Enchantment — Aura
389,Frostpeak Yeti,['U'],Snow Creature — Yeti
390,Faerie Formation,['U'],Creature — Faerie
391,Faithless Salvaging,['R'],Instant
392,Oketra's Monument,[],Legendary Artifact
393,"Karlach, Fury of Avernus",['R'],Legendary Creature — Tiefling Barbarian
394,Moonring Mirror,[],Artifact
395,Sharuum the Hegemon,"['B', 'U', 'W']",Legendary Artifact Creature — Sphinx
396,Combo Attack,['G'],Sorcery
397,Unliving Psychopath,['B'],Creature — Zombie Assassin
398,Diabolic Intent,['B'],Sorcery
399,Reaver Ambush,['B'],Instant
400,Herd Baloth,['G'],Creature — Beast
401,Patron of the Nezumi,['B'],Legendary Creature — Spirit
402,Black Sun's Zenith,['B'],Sorcery
403,Loafing Giant,['R'],Creature — Giant
404,Inundate,['U'],Sorcery
405,Polymorph,['U'],Sorcery
406,Sunflare Shaman,['R'],Creature — Elemental Shaman
407,Sol Grail,[],Artifact
408,Disappear,['U'],Enchantment — Aura
409,Unwilling Recruit,['R'],Sorcery
410,Guardian Gladewalker,['G'],Creature — Shapeshifter
411,"Rakdos, the Showstopper","['B', 'R']",Legendary Creature — Demon
412,Anavolver,"['B', 'G', 'U']",Creature — Volver
413,Borderland Minotaur,['R'],Creature — Minotaur Warrior
414,Barbtooth Wurm,['G'],Creature — Wurm
415,Sanguine Spy,['B'],Creature — Vampire Rogue
416,Heron-Blessed Geist // Heron-Blessed Geist,[],Card // Card
417,Terisiare's Devastation,['B'],Sorcery
418,Baffling End,['W'],Enchantment
419,Coral Commando,['U'],Creature — Merfolk Warrior
420,Bonds of Quicksilver,['U'],Enchantment — Aura
421,"Stenn, Paranoid Partisan","['U', 'W']",Legendary Creature — Human Wizard
422,Freed from the Real,['U'],Enchantment — Aura
423,Everythingamajig,[],Artifact
424,Heaven // Earth,"['G', 'R']",Instant // Sorcery
425,Misinformation,['B'],Instant
426,Drumbellower,['W'],Creature — Spirit
427,Hero's Downfall,['B'],Instant
428,Vernadi Shieldmate,"['G', 'W']",Creature — Human Soldier
429,Statute of Denial,['U'],Instant
430,Soratami Mirror-Mage,['U'],Creature — Moonfolk Wizard
431,Checkpoint Officer,['W'],Creature — Human Soldier
432,Tourach's Gate,['B'],Enchantment — Aura
433,Rune of Sustenance,['W'],Enchantment — Aura Rune
434,Venom Connoisseur,['G'],Creature — Human Druid
435,Mesmeric Orb,[],Artifact
436,Blood,[],Token Artifact — Blood
437,Autumn's Veil,['G'],Instant
438,Meteor Storm,"['G', 'R']",Enchantment
439,Rage Reflection,['R'],Enchantment
440,Faerie,['U'],Token Creature — Faerie
441,Consuming Sinkhole,['R'],Instant
442,"Miren, the Moaning Well",[],Legendary Land
443,Rootborn Defenses,['W'],Instant
444,Mourning Thrull,"['B', 'W']",Creature — Thrull
445,Clockwork Fox // Clockwork Fox,[],Card // Card
446,Hag of Death's Legion,['B'],Creature — Hag Warlock
447,My Undead Horde Awakens,[],Ongoing Scheme
448,Lore Weaver,['U'],Creature — Human Wizard
449,Gravitational Shift,['U'],Enchantment
450,Brighthearth Banneret,['R'],Creature — Elemental Warrior
451,Wolf,['R'],Token Creature — Wolf
452,Professional Face-Breaker,['R'],Creature — Human Warrior
453,Sisters of Stone Death Avatar,[],Vanguard
454,Executioner's Hood,[],Artifact — Equipment
455,Lowland Giant,['R'],Creature — Giant
456,Rain of Embers,['R'],Sorcery
457,Nature Demands an Offering,[],Scheme
458,"Gorex, the Tombshell",['B'],Legendary Creature — Zombie Turtle
459,"Zegana, Utopian Speaker","['G', 'U']",Legendary Creature — Merfolk Wizard
460,"Lae'zel, Illithid Thrall","['U', 'W']",Legendary Creature — Gith Horror Warrior
461,The Harvester,[],Hero
462,Magister of Worth,"['B', 'W']",Creature — Angel
463,Krosan Beast,['G'],Creature — Squirrel Beast
464,Ghoul's Feast,['B'],Instant
465,Burning Shield Askari,['R'],Creature — Human Knight
466,City of Shadows,[],Land
467,Elder of Laurels,['G'],Creature — Human Advisor
468,"Klement, Novice Acolyte",['W'],Legendary Creature — Tiefling Cleric
469,Desperate Castaways,['B'],Creature — Human Pirate
470,Breaking // Entering,"['B', 'R', 'U']",Sorcery // Sorcery
471,Ghitu War Cry,['R'],Enchantment
472,Earth-Cult Elemental,['R'],Creature — Elemental
473,Containment Breach,['G'],Sorcery — Lesson
474,Skyclave Shadowcat,['B'],Creature — Cat Horror
475,Cryptolith Rite,['G'],Enchantment
476,Oran-Rief Recluse,['G'],Creature — Spider
477,Illuminated Folio,[],Artifact
478,Showstopper,"['B', 'R']",Instant
479,Saltwater Stalwart,['U'],Creature — Merfolk Warrior
480,Spell Blast,['U'],Instant
481,Flailing Manticore,['R'],Creature — Manticore
482,Junk Golem,[],Artifact Creature — Golem
483,Cardboard Carapace,['G'],Enchantment — Aura
484,Reckoner's Bargain,['B'],Instant
485,Titans' Nest,"['B', 'G', 'U']",Enchantment
486,"Hallar, the Firefletcher","['G', 'R']",Legendary Creature — Elf Archer
487,Heartlash Cinder,['R'],Creature — Elemental Warrior
488,Deadly Rollick,['B'],Instant
489,Yavimaya Barbarian,"['G', 'R']",Creature — Elf Barbarian
490,Electrostatic Infantry // Electrostatic Infantry,[],Card // Card
491,Soul's Attendant,['W'],Creature — Human Cleric
492,Mudbutton Torchrunner,['R'],Creature — Goblin Warrior
493,Kargan Intimidator,['R'],Creature — Human Warrior
494,Dragon Scales,['W'],Enchantment — Aura
495,Yamabushi's Flame,['R'],Instant
496,Rod of Spanking,[],Artifact
497,Rime Dryad,['G'],Creature — Dryad
498,Surging Might,['G'],Enchantment — Aura
499,Ebony Treefolk,"['B', 'G']",Creature — Treefolk
500,Breath of Fire,['R'],Instant
501,The Book of Exalted Deeds,['W'],Legendary Artifact
502,Immolating Glare,['W'],Instant
503,"Phenax, God of Deception","['B', 'U']",Legendary Enchantment Creature — God
504,Moonblade Shinobi,['U'],Creature — Human Ninja
505,Simic Growth Chamber,"['G', 'U']",Land
506,Spurnmage Advocate,['W'],Creature — Human Nomad
507,Bog Humbugs,['B'],Creature — Insect
508,Slaughter Drone,['B'],Creature — Eldrazi Drone
509,Plague Stinger,['B'],Creature — Phyrexian Insect Horror
510,Tumble Magnet,[],Artifact
511,"Verrak, Warped Sengir","['B', 'W']",Legendary Creature — Vampire
512,Curator of Mysteries,['U'],Creature — Sphinx
513,Specter of the Fens,['B'],Creature — Specter
514,Unexpected Results,"['G', 'U']",Sorcery
515,Zodiac Rabbit,['G'],Creature — Rabbit
516,Venser's Diffusion,['U'],Instant
517,Hulking Cyclops,['R'],Creature — Cyclops
518,Sepulcher Ghoul,['B'],Creature — Zombie
519,Demonlord of Ashmouth,['B'],Creature — Demon
520,Spidersilk Net,[],Artifact — Equipment
521,Foundry of the Consuls,[],Land
522,Prismatic Dragon,['W'],Summon Dragon
523,Donate,['U'],Sorcery
524,Deglamer,['G'],Instant
525,Gridlock,['U'],Instant
526,Zanam Djinn,['U'],Creature — Djinn
527,Deadly Visit,['B'],Sorcery
528,Knight,['B'],Token Creature — Knight
529,Fungal Infection,['B'],Instant
530,"Huatli, Dinosaur Knight","['R', 'W']",Legendary Planeswalker — Huatli
531,Push Your Luck,[],Artifact — Attraction
532,Grixis Grimblade,"['B', 'R', 'U']",Creature — Zombie Warrior
533,Ben Rubin Decklist,[],Card
534,Fleshgrafter,['B'],Creature — Human Warrior
535,Ecologist's Terrarium,[],Artifact
536,Bojuka Bog,['B'],Land
537,Soldier,"['R', 'W']",Token Creature — Soldier
538,Ranger en-Vec,"['G', 'W']",Creature — Human Soldier Archer Ranger
539,Charging Badger,['G'],Creature — Badger
